generation,best,worst,bestEver,temperature
280,17101.4,19499.5,14629.4,370.451
281,17101.4,19667,14629.4,368.599
282,17331.2,18668.4,14629.4,366.756
283,17330.9,19668.6,14629.4,364.922
284,17312.9,19545.7,14629.4,363.098
285,17124.6,18846.7,14629.4,361.282
286,17124.6,19331.1,14629.4,359.476
287,16902.5,20270,14629.4,357.678
288,16229.8,17711.9,14629.4,355.89
289,16229.8,19926.3,14629.4,354.111
290,16229.8,18867.7,14629.4,352.34
291,16243.8,18565.3,14629.4,350.578
292,16243.8,20144.2,14629.4,348.826
293,15888.9,18691.8,14629.4,347.081
294,15888.9,18249,14629.4,345.346
295,15841.1,17669.2,14629.4,343.619
296,15841.1,19287.4,14629.4,341.901
297,16218.1,19133,14629.4,340.192
298,16218.1,18552.5,14629.4,338.491
299,16153.7,18861,14629.4,336.798
300,15490.1,17438.5,14629.4,335.114
301,15651.2,16555.7,14629.4,333.439
302,15479.1,17216.5,14629.4,331.771
303,15398.9,16940.7,14629.4,330.113
304,15425.5,16882.7,14629.4,328.462
305,15425.5,17255.1,14629.4,326.82
306,15408.2,18484,14629.4,325.186
307,15225.2,18179.9,14629.4,323.56
308,15225.2,17024.5,14629.4,321.942
309,15277.2,18995.2,14629.4,320.332
310,15110.2,17204.4,14629.4,318.731
311,15110.2,17705.4,14629.4,317.137
312,15181.1,17037.3,14629.4,315.551
313,14712.6,17102.4,14629.4,313.973
314,14712.6,16453.3,14629.4,312.404
315,14712.6,18327.4,14629.4,310.842
316,14712.6,17424.7,14629.4,309.287
317,14712.6,17677.4,14629.4,307.741
318,14650.7,16940.1,14629.4,306.202
319,14633.5,17557.9,14629.4,304.671
320,14633.5,17300.4,14629.4,303.148
321,14029.7,16509.7,14029.7,301.632
322,14029.7,17624.3,14029.7,300.124
323,14029.7,16985.1,14029.7,298.623
324,14029.7,16926.7,14029.7,297.13
325,13876,15871.5,13876,295.645
326,13876,17061.1,13876,294.166
327,13876,16508.9,13876,292.696
328,13876,16324.4,13876,291.232
329,13755.6,16889.4,13755.6,289.776
330,13755.6,15472.4,13755.6,288.327
331,13681.4,14856.1,13681.4,286.885
332,13681.4,17719.3,13681.4,285.451
333,13600.3,15351.3,13600.3,284.024
334,13614.5,17427.7,13600.3,282.604
335,13454.2,15608.3,13454.2,281.191
336,13451.8,17130.7,13451.8,279.785
337,13693.3,17808.7,13451.8,278.386
338,13699.1,16650.8,13451.8,276.994
339,13720.4,16902.7,13451.8,275.609
340,13720.4,16794.6,13451.8,274.231
341,13720.4,17247.9,13451.8,272.86
342,13636,14738.9,13451.8,271.495
343,13636,17574.5,13451.8,270.138
344,13636,16839.5,13451.8,268.787
345,13643.6,15225.6,13451.8,267.443
346,13636,16816.9,13451.8,266.106
347,13636,16096.9,13451.8,264.776
348,13636,17314,13451.8,263.452
349,13656.4,16543.2,13451.8,262.134
350,13913.1,15243,13451.8,260.824
351,13993.4,16229.5,13451.8,259.52
352,14050.1,16210.2,13451.8,258.222
353,14050.1,17063.5,13451.8,256.931
354,14172.4,15332.9,13451.8,255.646
355,14184,17784.8,13451.8,254.368
356,14036,16149.7,13451.8,253.096
357,14113.3,17314.7,13451.8,251.831
358,14007.7,18880.3,13451.8,250.572
359,14007.7,15541.9,13451.8,249.319
360,14007.7,17223.3,13451.8,248.072
361,13779.3,16510.1,13451.8,246.832
362,13779.3,17179,13451.8,245.598
363,13760.8,15724.8,13451.8,244.37
364,13784.6,15747,13451.8,243.148
365,13897.8,15953.3,13451.8,241.932
366,13777.4,15634.9,13451.8,240.722
367,13777.4,16253.6,13451.8,239.519
368,13470.7,15126.9,13451.8,238.321
369,13470.7,16227.5,13451.8,237.13
370,13470.7,16925.2,13451.8,235.944
371,13470.7,16120.2,13451.8,234.764
372,13470.7,15970.2,13451.8,233.59
373,13670.7,15011.4,13451.8,232.422
374,14124.9,15818.7,13451.8,231.26
375,14165.9,16231.6,13451.8,230.104
376,14165.9,15935.4,13451.8,228.954
377,14379.7,15777.5,13451.8,227.809
378,14253.7,16749.9,13451.8,226.67
379,14253.7,16112.7,13451.8,225.536
380,14356.2,16232.9,13451.8,224.409
381,14147.4,17536.1,13451.8,223.287
382,14520.2,15622.3,13451.8,222.17
383,14223.9,18223.6,13451.8,221.059
384,14223.9,16946,13451.8,219.954
385,13653,16510.2,13451.8,218.854
386,13653,16746.7,13451.8,217.76
387,13577,17280.1,13451.8,216.671
388,13540,17767.8,13451.8,215.588
389,13540,16749.6,13451.8,214.51
390,13468.9,15801,13451.8,213.437
391,13469.2,16450.1,13451.8,212.37
392,13469.2,16891.4,13451.8,211.308
393,13469.2,16204.8,13451.8,210.252
394,13469.2,16141.1,13451.8,209.201
395,13427.7,16469.9,13427.7,208.155
396,13427.7,16827.5,13427.7,207.114
397,13427.7,16886.2,13427.7,206.078
398,13462.4,16380.4,13427.7,205.048
399,13462.4,16134.3,13427.7,204.023
400,13353.9,17235,13353.9,203.002
401,13353.9,17138.2,13353.9,201.987
402,13403.5,17617.1,13353.9,200.978
403,13403.5,15664.5,13353.9,199.973
404,13407.1,16766.8,13353.9,198.973
405,13407.1,17106.3,13353.9,197.978
406,13407.1,15863.1,13353.9,196.988
407,13788.4,15690.7,13353.9,196.003
408,13193.1,16923.8,13193.1,195.023
409,13193.1,15793.6,13193.1,194.048
410,13193.1,15491.7,13193.1,193.078
411,13193.1,15484.7,13193.1,192.112
412,13193.1,17276.9,13193.1,191.152
413,13193.1,15650.3,13193.1,190.196
414,13193.1,15922.2,13193.1,189.245
415,13193.1,16053.8,13193.1,188.299
416,13321.2,14692.3,13193.1,187.357
417,13103,18732.8,13103,186.421
418,13141.8,16003.8,13103,185.488
419,13141.8,15533,13103,184.561
420,13141.8,16617,13103,183.638
421,13471.1,16534.3,13103,182.72
422,13471.1,17504.2,13103,181.806
423,13448.4,16917.4,13103,180.897
424,13448.4,17232.5,13103,179.993
425,13451.9,13894.1,13103,179.093
426,13453.9,15278,13103,178.197
427,13451.9,16796.5,13103,177.306
428,13451.9,15959.3,13103,176.42
429,13678.3,16028.5,13103,175.538
430,13678.3,15201.6,13103,174.66
431,13616.8,17346.6,13103,173.787
432,13616.8,16382.4,13103,172.918
433,13519.3,14981.1,13103,172.053
434,13589.4,17225.6,13103,171.193
435,13589.4,17594.1,13103,170.337
436,13625.3,16603,13103,169.485
437,13556.7,15503.4,13103,168.638
438,13550.1,17307.3,13103,167.795
