generation,best,bestEver
978,5647.75,4615.43
979,5803.6,4615.43
980,5647.75,4615.43
981,5803.6,4615.43
982,5647.75,4615.43
983,5803.6,4615.43
984,5647.75,4615.43
985,5803.6,4615.43
986,5647.75,4615.43
987,5803.6,4615.43
988,5647.75,4615.43
989,5803.6,4615.43
990,5647.75,4615.43
991,5803.6,4615.43
992,5647.75,4615.43
993,5803.6,4615.43
994,5647.75,4615.43
995,5803.6,4615.43
996,5647.75,4615.43
997,5803.6,4615.43
998,5647.75,4615.43
999,5803.6,4615.43
1000,5647.75,4615.43
1001,5803.6,4615.43
1002,5647.75,4615.43
1003,5803.6,4615.43
1004,5647.75,4615.43
1005,5803.6,4615.43
1006,5647.75,4615.43
1007,5803.6,4615.43
1008,5647.75,4615.43
1009,5803.6,4615.43
1010,5647.75,4615.43
1011,5803.6,4615.43
1012,5647.75,4615.43
1013,5803.6,4615.43
1014,5647.75,4615.43
1015,5803.6,4615.43
1016,5647.75,4615.43
1017,5803.6,4615.43
1018,5647.75,4615.43
1019,5803.6,4615.43
1020,5647.75,4615.43
1021,5803.6,4615.43
1022,5647.75,4615.43
1023,5803.6,4615.43
1024,5647.75,4615.43
1025,5803.6,4615.43
1026,5647.75,4615.43
1027,5803.6,4615.43
1028,5647.75,4615.43
1029,5803.6,4615.43
1030,5647.75,4615.43
1031,5803.6,4615.43
1032,5647.75,4615.43
1033,5803.6,4615.43
1034,5647.75,4615.43
1035,5803.6,4615.43
1036,5647.75,4615.43
1037,5803.6,4615.43
1038,5647.75,4615.43
1039,5803.6,4615.43
1040,5647.75,4615.43
1041,5803.6,4615.43
1042,5647.75,4615.43
1043,5803.6,4615.43
1044,5647.75,4615.43
1045,5803.6,4615.43
1046,5647.75,4615.43
1047,5803.6,4615.43
1048,5647.75,4615.43
1049,5803.6,4615.43
1050,5647.75,4615.43
1051,5803.6,4615.43
1052,5647.75,4615.43
1053,5803.6,4615.43
1054,5647.75,4615.43
1055,5803.6,4615.43
1056,5647.75,4615.43
1057,5803.6,4615.43
1058,5647.75,4615.43
1059,5803.6,4615.43
1060,5647.75,4615.43
1061,5803.6,4615.43
1062,5647.75,4615.43
1063,5803.6,4615.43
1064,5647.75,4615.43
1065,5803.6,4615.43
1066,5647.75,4615.43
1067,5803.6,4615.43
1068,5647.75,4615.43
1069,5803.6,4615.43
1070,5647.75,4615.43
1071,5803.6,4615.43
1072,5647.75,4615.43
1073,5803.6,4615.43
1074,5647.75,4615.43
1075,5803.6,4615.43
1076,5647.75,4615.43
1077,5803.6,4615.43
1078,5647.75,4615.43
1079,5803.6,4615.43
1080,5647.75,4615.43
1081,5803.6,4615.43
1082,5647.75,4615.43
1083,5803.6,4615.43
1084,5647.75,4615.43
1085,5803.6,4615.43
1086,5647.75,4615.43
1087,5803.6,4615.43
1088,5647.75,4615.43
1089,5803.6,4615.43
1090,5647.75,4615.43
1091,5803.6,4615.43
1092,5647.75,4615.43
1093,5803.6,4615.43
1094,5647.75,4615.43
1095,5803.6,4615.43
1096,5647.75,4615.43
1097,5803.6,4615.43
1098,5647.75,4615.43
1099,5803.6,4615.43
1100,5647.75,4615.43
1101,5803.6,4615.43
1102,5647.75,4615.43
1103,5803.6,4615.43
1104,5647.75,4615.43
1105,5803.6,4615.43
1106,5647.75,4615.43
1107,5803.6,4615.43
1108,5647.75,4615.43
1109,5803.6,4615.43
1110,5647.75,4615.43
1111,5803.6,4615.43
1112,5647.75,4615.43
1113,5803.6,4615.43
1114,5647.75,4615.43
